MPC;exp_name
MPC_424;MPC_424_g_MM_E
MPC_269;MPC_269_g_MM_E
MPC_538;MPC_538_g_MM_E
MPC_427;MPC_427_g_MM_E
MPC_375;MPC_375_g_MM_E
MPC_483;MPC_483_g_MM_E
MPC_429;MPC_429_g_MM_E
MPC_430;MPC_430_g_MM_E
MPC_330;MPC_330_g_MM_E
MPC_401;MPC_401_g_MM_E
MPC_519;MPC_519_g_MM_E
MPC_402;MPC_402_g_MM_E
MPC_337;MPC_337_g_MM_E
MPC_270;MPC_270_g_MM_E
MPC_403;MPC_403_g_MM_E
MPC_474;MPC_474_g_MM_E
MPC_1771;MPC_1771_g_MM_E
MPC_480;MPC_480_g_MM_E
MPC_488;MPC_488_g_MM_E
MPC_857;MPC_857_g_MM_E
MPC_409;MPC_409_g_MM_E
MPC_305;MPC_305_g_MM_E
MPC_1774;MPC_1774_g_MM_E
MPC_529;MPC_529_g_MM_E
MPC_537;MPC_537_g_MM_E
MPC_2227;MPC_2227_g_MM_E
MPC_108;MPC_108_g_MM_E
MPC_287;MPC_287_g_MM_E
MPC_3418;MPC_3418_g_MM_E
MPC_2460;MPC_2460_g_MM_E
MPC_3350;MPC_3350_g_MM_E
MPC_520;MPC_520_g_MM_E
MPC_1402;MPC_1402_g_MM_E
MPC_388;MPC_388_g_MM_E
MPC_473;MPC_473_g_MM_E
MPC_490;MPC_490_g_MM_E
MPC_471;MPC_471_g_MM_E
MPC_495;MPC_495_g_MM_E
MPC_390;MPC_390_g_MM_E
MPC_3447;MPC_3447_g_MM_E
MPC_440;MPC_440_g_MM_E
MPC_506;MPC_506_g_MM_E
MPC_462;MPC_462_g_MM_E
MPC_518;MPC_518_g_MM_E
MPC_392;MPC_392_g_MM_E
MPC_395;MPC_395_g_MM_E
MPC_298;MPC_298_g_MM_E
MPC_442;MPC_442_g_MM_E
MPC_443;MPC_443_g_MM_E
MPC_478;MPC_478_g_MM_E
MPC_3298;MPC_3298_g_MM_E
MPC_482;MPC_482_g_MM_E
MPC_414;MPC_414_g_MM_E
MPC_415;MPC_415_g_MM_E
MPC_475;MPC_475_g_MM_E
MPC_2451;MPC_2451_g_MM_E
MPC_3340;MPC_3340_g_MM_E
MPC_981;MPC_981_g_MM_E
MPC_3341;MPC_3341_g_MM_E
MPC_484;MPC_484_g_MM_E
MPC_3357;MPC_3357_g_MM_E
MPC_3464;MPC_3464_g_MM_E
MPC_3345;MPC_3345_g_MM_E
MPC_2433;MPC_2433_g_MM_E
MPC_448;MPC_448_g_MM_E
MPC_3474;MPC_3474_g_MM_E
MPC_534;MPC_534_g_MM_E
MPC_1286;MPC_1286_g_MM_E
MPC_1280;MPC_1280_g_MM_E
MPC_3300;MPC_3300_g_MM_E
MPC_3338;MPC_3338_g_MM_E
MPC_461;MPC_461_g_MM_E
MPC_521;MPC_521_g_MM_E
MPC_290;MPC_290_g_MM_E
MPC_477;MPC_477_g_MM_E
MPC_3339;MPC_3339_g_MM_E
MPC_1290;MPC_1290_g_MM_E
MPC_359;MPC_359_g_MM_E
MPC_3239;MPC_3239_g_MM_E
MPC_1339;MPC_1339_g_MM_E
MPC_3235;MPC_3235_g_MM_E
MPC_546;MPC_546_g_MM_E
MPC_113;20170719_MG_MM_Cyto_D1MM_(CytoScanHD_Array)
MPC_155;20170719_MG_MM_Cyto_D2MM_(CytoScanHD_Array)
MPC_373;MM_cytoscanHD_19092017_D8_(CytoScanHD_Array)
MPC_2710;20090121_MM01_SNP6.0_(GenomeWideSNP_6)
MPC_116;20090422_MM7_SNP6.0_(GenomeWideSNP_6)
MPC_267;20090520_MM13_SNP6.0_(GenomeWideSNP_6)
MPC_1541;20090604_MM18_SNP6.0_(GenomeWideSNP_6)
MPC_135;20100108_MART_MM_SNP46_(GenomeWideSNP_6)
MPC_180;20100331_MART_MM_SNP59_(GenomeWideSNP_6)
MPC_1568;20100331_MART_MM_SNP65_(GenomeWideSNP_6)
MPC_100;20101012_MART_MM_SNP82_(GenomeWideSNP_6)
MPC_2158;20110404_MART_MM_SNP87_(GenomeWideSNP_6)
MPC_346;20110517_MART_MM_SNP94_(GenomeWideSNP_6)
MPC_2;20110517_MART_MM_SNP95_(GenomeWideSNP_6)
MPC_3;20110714_MART_MM_SNP102_(GenomeWideSNP_6)
MPC_2782;20110920_MART_MM_SNP117_(GenomeWideSNP_6)
MPC_184;20111212_MART_MM_SNP153_(GenomeWideSNP_6)
MPC_183;20120510_MART_MM_SNP167_(GenomeWideSNP_6)
MPC_357;20120510_MART_MM_SNP170_(GenomeWideSNP_6)
